[ 2025-06-27 14:50:33,734 ] 20 root - INFO - Initiate the data ingestion
[ 2025-06-27 14:50:37,576 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-27 14:50:37,576 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-27 14:50:37,576 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-27 14:50:37,687 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-27 14:50:37,687 ] 22 root - INFO - Data Initiation Completed
[ 2025-06-27 14:50:37,687 ] 26 root - INFO - Initiate the data Validation
[ 2025-06-27 14:50:37,728 ] 32 root - INFO - Required number of columns:2
[ 2025-06-27 14:50:37,730 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-27 14:50:37,730 ] 32 root - INFO - Required number of columns:2
[ 2025-06-27 14:50:37,730 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-27 14:50:37,958 ] 28 root - INFO - data Validation Completed
[ 2025-06-27 14:50:37,958 ] 31 root - INFO - data Transformation started
[ 2025-06-27 14:50:37,958 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-27 14:50:37,958 ] 65 root - INFO - Starting data transformation
[ 2025-06-27 14:50:37,990 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-27 14:50:37,990 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-27 14:50:38,006 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-27 14:50:38,011 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-27 14:50:38,011 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-27 14:50:38,014 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-27 14:50:38,014 ] 35 root - INFO - data Transformation completed
[ 2025-06-27 14:50:38,014 ] 37 root - INFO - Model Training sstared
[ 2025-06-27 14:55:22,729 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-27 14:55:22,734 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-27 14:55:22,734 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-27 14:55:22,784 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-27 14:55:22,784 ] 116 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_27_2025_14_50_32\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913236481033091, precision_score=0.9899254483175499, recall_score=0.9927258031925642), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9756901524515863, precision_score=0.9712879409351928, recall_score=0.9801324503311258))
[ 2025-06-27 14:55:22,798 ] 42 root - INFO - Model Training artifact created
