[ 2025-06-26 19:38:38,822 ] 16 root - INFO - Initiate the data ingestion
[ 2025-06-26 19:38:43,234 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-26 19:38:43,234 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-26 19:38:43,234 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-26 19:38:43,298 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-26 19:38:43,298 ] 18 root - INFO - Data Initiation Completed
[ 2025-06-26 19:38:43,316 ] 22 root - INFO - Initiate the data Validation
[ 2025-06-26 19:38:43,338 ] 32 root - INFO - Required number of columns:2
[ 2025-06-26 19:38:43,338 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-26 19:38:43,338 ] 32 root - INFO - Required number of columns:2
[ 2025-06-26 19:38:43,338 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-26 19:38:43,522 ] 24 root - INFO - data Validation Completed
[ 2025-06-26 19:38:43,522 ] 27 root - INFO - data Transformation started
[ 2025-06-26 19:38:43,522 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-26 19:38:43,522 ] 65 root - INFO - Starting data transformation
[ 2025-06-26 19:38:43,561 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-26 19:38:43,561 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-26 19:38:43,578 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-26 19:38:43,578 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-26 19:38:43,578 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-26 19:38:43,585 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-26 19:38:43,585 ] 31 root - INFO - data Transformation completed
