[ 2025-06-28 01:03:19,488 ] 148 numexpr.utils - INFO - Note: NumExpr detected 16 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-06-28 01:03:19,488 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-06-28 01:03:25,031 ] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-06-28 01:03:25,040 ] 107 dagshub - INFO - Accessing as Naveenkumar-2007
[ 2025-06-28 01:03:26,567 ] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Naveenkumar-2007/End-to-End "HTTP/1.1 200 OK"
[ 2025-06-28 01:03:27,633 ] 1026 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-06-28 01:03:27,633 ] 107 dagshub - INFO - Initialized MLflow to track repo "Naveenkumar-2007/End-to-End"
[ 2025-06-28 01:03:27,641 ] 107 dagshub - INFO - Repository Naveenkumar-2007/End-to-End initialized!
[ 2025-06-28 01:04:30,629 ] 42 root - INFO - Start data Ingestion
[ 2025-06-28 01:04:35,231 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-28 01:04:35,231 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-28 01:04:35,231 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-28 01:04:35,394 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-28 01:04:35,394 ] 45 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\06_28_2025_01_03_19\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\06_28_2025_01_03_19\\data_ingestion\\ingested\\test.csv')
[ 2025-06-28 01:04:35,411 ] 55 root - INFO - Initiate the data Validation
[ 2025-06-28 01:04:35,463 ] 32 root - INFO - Required number of columns:2
[ 2025-06-28 01:04:35,463 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-28 01:04:35,463 ] 32 root - INFO - Required number of columns:2
[ 2025-06-28 01:04:35,463 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-28 01:04:35,815 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-28 01:04:35,815 ] 65 root - INFO - Starting data transformation
[ 2025-06-28 01:04:35,881 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-28 01:04:35,881 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-28 01:04:35,910 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-28 01:04:35,913 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-28 01:04:35,913 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-28 01:04:35,918 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-28 01:09:14,831 ] 42 root - INFO - Start data Ingestion
[ 2025-06-28 01:09:19,002 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-28 01:09:19,002 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-28 01:09:19,002 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-28 01:09:19,067 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-28 01:09:19,067 ] 45 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\06_28_2025_01_03_19\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\06_28_2025_01_03_19\\data_ingestion\\ingested\\test.csv')
[ 2025-06-28 01:09:19,073 ] 55 root - INFO - Initiate the data Validation
[ 2025-06-28 01:09:19,096 ] 32 root - INFO - Required number of columns:2
[ 2025-06-28 01:09:19,096 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-28 01:09:19,096 ] 32 root - INFO - Required number of columns:2
[ 2025-06-28 01:09:19,096 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-28 01:09:19,259 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-28 01:09:19,259 ] 65 root - INFO - Starting data transformation
[ 2025-06-28 01:09:19,285 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-28 01:09:19,285 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-28 01:09:19,295 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-28 01:09:19,295 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-28 01:09:19,295 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-28 01:09:19,295 ] 50 root - INFO - Exited the save_object method of MainUtils class
